timestamp,count,uniques,collected_at
2026-07-16T00:00:00Z,0,0,2026-07-31T05:49:35Z
2026-07-17T00:00:00Z,0,0,2026-07-31T05:49:35Z
2026-07-18T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-19T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-20T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-21T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-22T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-23T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-24T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-25T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-26T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-27T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-28T00:00:00Z,0,0,2026-08-02T05:40:34Z
2026-07-29T00:00:00Z,2,1,2026-08-02T05:40:34Z
2026-07-30T00:00:00Z,4,1,2026-08-02T05:40:34Z
2026-07-31T00:00:00Z,0,0,2026-08-02T05:40:34Z
TOTAL,6,2,2026-08-02T05:40:34Z
