pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_people,pct_population
FJ,Fiji,DK,Denmark,2020,33.0,0.0036
FJ,Fiji,PF,French Polynesia,2020,30.0,0.0033
FJ,Fiji,FI,Finland,2020,9.0,0.001
FJ,Fiji,HU,Hungary,2020,4.0,0.0004
FJ,Fiji,LU,Luxembourg,2020,4.0,0.0004
FJ,Fiji,CR,Costa Rica,2020,1.0,0.0001
FJ,Fiji,CY,Cyprus,2020,1.0,0.0001
FJ,Fiji,GN,Guinea,2020,1.0,0.0001
FJ,Fiji,AU,Australia,2024,83435.0,8.9833
FJ,Fiji,NZ,New Zealand,2024,70552.0,7.5962
FJ,Fiji,CA,Canada,2024,24028.0,2.587
FJ,Fiji,CK,Cook Islands,2024,568.0,0.0612
FJ,Fiji,KI,Kiribati,2024,561.0,0.0604
FJ,Fiji,TO,Tonga,2024,450.0,0.0485
FJ,Fiji,AS,American Samoa,2024,333.0,0.0359
FJ,Fiji,VU,Vanuatu,2024,239.0,0.0257
FJ,Fiji,NR,Nauru,2024,122.0,0.0131
FJ,Fiji,MH,Marshall Islands,2024,117.0,0.0126
FJ,Fiji,IN,India,2024,108.0,0.0116
FJ,Fiji,WS,Samoa,2024,105.0,0.0113
FJ,Fiji,SB,Solomon Islands,2024,98.0,0.0106
FJ,Fiji,PG,Papua New Guinea,2024,83.0,0.0089
FJ,Fiji,TV,Tuvalu,2024,57.0,0.0061
FJ,Fiji,NO,Norway,2024,46.0,0.005
FJ,Fiji,NU,Niue,2024,39.0,0.0042
FJ,Fiji,DK,Denmark,2024,30.0,0.0032
FJ,Fiji,PF,French Polynesia,2024,30.0,0.0032
FJ,Fiji,FI,Finland,2024,11.0,0.0012
FJ,Fiji,HU,Hungary,2024,5.0,0.0005
FJ,Fiji,LU,Luxembourg,2024,5.0,0.0005
FJ,Fiji,CR,Costa Rica,2024,1.0,0.0001
FJ,Fiji,CY,Cyprus,2024,1.0,0.0001
FJ,Fiji,GN,Guinea,2024,1.0,0.0001
FM,Micronesia (Fed. States of),GU,Guam,2010,10545.0,9.8057
FM,Micronesia (Fed. States of),MP,Northern Mariana Islands,2010,1245.0,1.1577
FM,Micronesia (Fed. States of),PW,Palau,2010,445.0,0.4138
FM,Micronesia (Fed. States of),MH,Marshall Islands,2010,228.0,0.212
FM,Micronesia (Fed. States of),NO,Norway,2010,1.0,0.0009
FM,Micronesia (Fed. States of),GU,Guam,2015,10639.0,9.786
FM,Micronesia (Fed. States of),MP,Northern Mariana Islands,2015,1115.0,1.0256
FM,Micronesia (Fed. States of),PW,Palau,2015,400.0,0.3679
FM,Micronesia (Fed. States of),MH,Marshall Islands,2015,242.0,0.2226
FM,Micronesia (Fed. States of),GN,Guinea,2015,3.0,0.0028
FM,Micronesia (Fed. States of),NO,Norway,2015,1.0,0.0009
FM,Micronesia (Fed. States of),SK,Slovakia,2015,1.0,0.0009
FM,Micronesia (Fed. States of),GU,Guam,2020,11251.0,10.1437
FM,Micronesia (Fed. States of),MP,Northern Mariana Islands,2020,1124.0,1.0134
FM,Micronesia (Fed. States of),PW,Palau,2020,411.0,0.3706
FM,Micronesia (Fed. States of),MH,Marshall Islands,2020,246.0,0.2218
FM,Micronesia (Fed. States of),GN,Guinea,2020,1.0,0.0009
FM,Micronesia (Fed. States of),GU,Guam,2024,11767.0,10.3986
FM,Micronesia (Fed. States of),MP,Northern Mariana Islands,2024,1132.0,1.0004
FM,Micronesia (Fed. States of),PW,Palau,2024,421.0,0.372
FM,Micronesia (Fed. States of),MH,Marshall Islands,2024,247.0,0.2183
FM,Micronesia (Fed. States of),GN,Guinea,2024,1.0,0.0009
KI,Kiribati,NZ,New Zealand,2010,1234.0,1.1352
KI,Kiribati,FJ,Fiji,2010,753.0,0.6927
KI,Kiribati,AU,Australia,2010,598.0,0.5501
KI,Kiribati,SB,Solomon Islands,2010,283.0,0.2603
KI,Kiribati,MH,Marshall Islands,2010,259.0,0.2383
KI,Kiribati,NR,Nauru,2010,132.0,0.1214
KI,Kiribati,TV,Tuvalu,2010,59.0,0.0543
KI,Kiribati,WS,Samoa,2010,16.0,0.0147
KI,Kiribati,BG,Bulgaria,2010,5.0,0.0046
KI,Kiribati,NO,Norway,2010,2.0,0.0018
KI,Kiribati,DK,Denmark,2010,1.0,0.0009
